user_id,total_commissions,cost_percentage
U000000001,7576.43,0.499900
U000000002,6638.00,0.499900
U000000003,3234.42,0.499900
U000000004,3262.48,0.499900
U000000005,5476.98,0.499900
U000000006,3417.12,0.500000
U000000007,3227.21,0.500000
U000000008,7605.86,0.500000
U000000009,4038.35,0.500000
U000000010,7962.84,0.499900
U000000011,3573.52,0.499900
U000000012,3236.72,0.499900
U000000013,5240.73,0.500000
U000000014,2382.38,0.499900
U000000015,3118.28,0.499900
U000000016,3251.19,0.500000
U000000017,3042.30,0.500000
U000000018,6039.54,0.500000
U000000019,5789.52,0.499900
U000000020,2903.97,0.499900
U000000021,3575.26,0.499900
U000000022,7645.03,0.499900
U000000023,5333.88,0.500000
U000000024,2370.48,0.500000
U000000025,3023.01,0.499900
U000000026,4771.45,0.499900
U000000027,3461.94,0.499900
U000000028,2830.02,0.499900
U000000029,3628.33,0.499900
U000000030,4145.18,0.500000
